ws,plot,tree_id,species,branch,dbh,ba,dam_class,dam_gte2,pct_dam,canopy,ba_perc_dam
3,314,58,QUPR,2,22.4,394.0813825,Class 1,FALSE,0,C,0
3,314,8,SAAL,2,18.1,257.3042923,Class 1,FALSE,0,C,0
3,314,42,SAAL,1,14.5,165.1299639,Class 1,FALSE,0,C,0
3,314,42,SAAL,2,15.9,198.5565097,Class 1,FALSE,0,C,0
3,314,42,SAAL,3,18.9,280.5520779,Class 1,FALSE,0,C,0
3,314,34,ACRU,1,6.1,29.22466566,Class 1,FALSE,0,S,0
3,314,56,ACRU,1,11,95.03317777,Class 1,FALSE,0,S,0
3,314,47,BELE,1,9.2,66.47610055,Class 1,FALSE,0,S,0
3,314,49,BELE,1,18.5,268.8025214,Class 1,FALSE,0,S,0
3,314,5,FAGR,1,2.7,5.725552611,Class 1,FALSE,0,S,0
3,314,27,FAGR,1,10.9,93.31315579,Class 1,FALSE,0,S,0
3,314,32,FAGR,1,5.6,24.6300864,Class 1,FALSE,0,S,0
3,314,53,FAGR,1,12.3,118.8228881,Class 1,FALSE,0,S,0
3,314,38,MAAC,1,9.1,65.03882191,Class 1,FALSE,0,S,0
3,314,31,QUPR,2,37.2,1086.865394,Class 1,FALSE,0,S,0
3,314,55,QUPR,1,14.8,172.0336137,Class 1,FALSE,0,S,0
3,314,1,ACRU,1,29.4,678.8667565,Class 2,TRUE,25,C,169.7166891
3,314,1,ACRU,3,25.3,502.7255104,Class 2,TRUE,25,C,125.6813776
3,314,1,ACRU,7,23.4,430.0526183,Class 2,TRUE,25,C,107.5131546
3,314,50,ACRU,1,23,415.4756284,Class 2,TRUE,25,C,103.8689071
3,314,48,PRPE,1,33.9,902.5874234,Class 2,TRUE,25,C,225.6468558
3,314,9,PRPE,1,25.1,494.8086969,Class 2,TRUE,25,C,123.7021742
3,314,16,PRPE,1,21.8,373.2526232,Class 2,TRUE,25,C,93.31315579
3,314,23,PRPE,1,13.1,134.7821788,Class 2,TRUE,25,C,33.69554471
3,314,24,QUPR,1,24.3,463.7697615,Class 2,TRUE,25,C,115.9424404
3,314,41,QUPR,3,22.3,390.5706527,Class 2,TRUE,25,C,97.64266317
3,314,41,QUPR,4,21.4,359.6809429,Class 2,TRUE,25,C,89.92023573
3,314,41,QUPR,1,15.9,198.5565097,Class 2,TRUE,25,C,49.63912742
3,314,6,SAAL,1,17.7,246.0573906,Class 2,TRUE,25,C,61.51434765
3,314,54,FAGR,2,11.7,107.5131546,Class 2,TRUE,25,S,26.87828865
3,314,39,FAGR,1,2.9,6.605198554,Class 2,TRUE,25,S,1.651299639
3,314,3,FAGR,1,2.8,6.157521601,Class 2,TRUE,25,S,1.5393804
3,314,30,OXAR,1,8.9,62.21138852,Class 2,TRUE,25,S,15.55284713
3,314,29,ACRU,1,3.2,8.042477193,Class 3,TRUE,50,S,4.021238597
3,314,12,ACRU,1,2.8,6.157521601,Class 3,TRUE,50,S,3.078760801
3,314,10,FAGR,1,7.5,44.17864669,Class 3,TRUE,50,S,22.08932335
3,314,33,FAGR,1,7,38.48451001,Class 3,TRUE,50,S,19.242255
3,314,11,FAGR,1,5.9,27.33971007,Class 3,TRUE,50,S,13.66985503
3,314,28,FAGR,1,5.8,26.42079422,Class 3,TRUE,50,S,13.21039711
3,314,59,FAGR,1,5.3,22.06183441,Class 3,TRUE,50,S,11.0309172
3,314,14,FAGR,1,4.2,13.8544236,Class 3,TRUE,50,S,6.927211801
3,314,17,FAGR,1,4.2,13.8544236,Class 3,TRUE,50,S,6.927211801
3,314,52,FAGR,1,4.2,13.8544236,Class 3,TRUE,50,S,6.927211801
3,314,13,FAGR,1,3.8,11.34114948,Class 3,TRUE,50,S,5.67057474
3,314,17,FAGR,2,3.8,11.34114948,Class 3,TRUE,50,S,5.67057474
